pair,scope,dataset,sigma,agreement,mean_abs_class_error_pair,delta_accuracy,delta_macro_f1,delta_mae_vs_oracle,delta_tail_recall_24,delta_tail_recall_28,delta_tail_recall_31,delta_psnr_mean,delta_psnr_std,delta_ssim_mean,delta_ssim_std,delta_strred_mean
A4_vs_A5_soft,dataset_sigma,DAVIS,10,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.002130,0.010885,0.000012,0.000078,
A4_vs_A5_soft,dataset_sigma,DAVIS,30,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.001948,0.004356,0.000012,0.000064,
A4_vs_A5_soft,dataset_sigma,DAVIS,50,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.000209,0.001740,-0.000003,0.000051,
A4_vs_A5_soft,dataset_sigma,Set8,10,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.018169,0.028754,0.000223,0.000870,
A4_vs_A5_soft,dataset_sigma,Set8,30,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.001191,0.009135,-0.000298,0.000662,
A4_vs_A5_soft,dataset_sigma,Set8,50,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,-0.001009,0.003457,-0.000110,0.000217,
A4_vs_A5_soft,global,ALL,ALL,0.988906,0.079137,0.000554,0.000731,-0.016597,-0.002417,-0.002934,0.001934,0.004838,0.017155,-0.000043,0.000581,
A5_soft_vs_A5_hw_eq,dataset_sigma,DAVIS,10,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,-0.000398,0.001923,-0.000009,0.000034,
A5_soft_vs_A5_hw_eq,dataset_sigma,DAVIS,30,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,-0.000038,0.000398,0.000000,0.000016,
A5_soft_vs_A5_hw_eq,dataset_sigma,DAVIS,50,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,0.000310,0.000305,0.000003,0.000011,
A5_soft_vs_A5_hw_eq,dataset_sigma,Set8,10,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,-0.000559,0.001845,-0.000005,0.000039,
A5_soft_vs_A5_hw_eq,dataset_sigma,Set8,30,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,0.000020,0.000606,0.000000,0.000023,
A5_soft_vs_A5_hw_eq,dataset_sigma,Set8,50,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,0.000106,0.001252,0.000003,0.000022,
A5_soft_vs_A5_hw_eq,global,ALL,ALL,0.999003,0.004313,-0.000028,0.000052,0.000613,0.000133,0.000766,0.000276,-0.000116,0.001320,-0.000001,0.000028,
